"Todohuken","Category","Latitude_dmm","Longitude_dmm","Latitude_dms","Longitude_dms"
"京都府","都道府県庁","35°01′17″W","135°45′20″W",35.0213888888889,135.755555555556
"京都府","東端","34°44′19″W","136°03′20″W",34.7386111111111,136.055555555556
"京都府","西端","35°35′19″W","134°51′13″W",35.5886111111111,134.853611111111
"京都府","南端","34°42′21″W","135°51′04″W",34.7058333333333,135.851111111111
"京都府","北端","35°46′45″″W","135°13′25″″W",35.7791666666667,135.223611111111
"大阪府","都道府県庁","34°41′11″W","135°31′12″W",34.6863888888889,135.52
"大阪府","東端","34°48′06″W","135°44′48″W",34.8016666666667,135.746666666667
"大阪府","西端","34°18′52″W","135°05′31″W",34.3144444444444,135.091944444444
"大阪府","南端","34°16′19″W","135°06′41″W",34.2719444444444,135.111388888889
"大阪府","北端","35°03′05″″W","135°21′06″″W",35.0513888888889,135.351666666667
"兵庫県","都道府県庁","34°41′29″W","135°10′59″W",34.6913888888889,135.183055555556
"兵庫県","東端","34°55′32″W","135°28′07″W",34.9255555555556,135.468611111111
"兵庫県","西端","34°51′07″W","134°15′09″W",34.8519444444444,134.2525
"兵庫県","南端","34°09′21″W","134°48′59″W",34.1558333333333,134.816388888889
"兵庫県","北端","35°40′29″″W","134°45′53″″W",35.6747222222222,134.764722222222
"奈良県","都道府県庁","34°41′07″W","135°49′58″W",34.6852777777778,135.832777777778
"奈良県","東端","34°29′35″W","136°13′48″W",34.4930555555556,136.23
"奈良県","西端","34°04′33″W","135°32′23″W",34.0758333333333,135.539722222222
"奈良県","南端","33°51′32″W","135°52′20″W",33.8588888888889,135.872222222222
"奈良県","北端","34°46′53″″W","135°42′41″″W",34.7813888888889,135.711388888889
"和歌山県","都道府県庁","34°13′34″W","135°10′03″W",34.2261111111111,135.1675
"和歌山県","東端","33°58′13″W","136°00′48″W",33.9702777777778,136.013333333333
"和歌山県","西端","34°16′47″W","134°59′57″W",34.2797222222222,134.999166666667
"和歌山県","南端","33°25′59″W","135°45′45″W",33.4330555555556,135.7625
"和歌山県","北端","34°23′04″″W","135°37′12″″W",34.3844444444444,135.62
"鳥取県","都道府県庁","35°30′13″W","134°14′18″W",35.5036111111111,134.238333333333
"鳥取県","東端","35°16′40″W","134°30′55″W",35.2777777777778,134.515277777778
"鳥取県","西端","35°04′13″W","133°08′09″W",35.0702777777778,133.135833333333
"鳥取県","南端","35°03′27″W","133°16′09″W",35.0575,133.269166666667
"鳥取県","北端","35°36′52″″W","134°22′12″″W",35.6144444444444,134.37
"島根県","都道府県庁","35°28′20″W","133°03′02″W",35.4722222222222,133.050555555556
"島根県","東端","36°16′14″W","133°23′13″W",36.2705555555556,133.386944444444
"島根県","西端","34°30′15″W","131°40′04″W",34.5041666666667,131.667777777778
"島根県","南端","34°18′09″W","131°49′13″W",34.3025,131.820277777778
"島根県","北端","37°14′39″″W","131°51′54″″W",37.2441666666667,131.865
"岡山県","都道府県庁","34°39′42″W","133°56′06″W",34.6616666666667,133.935
"岡山県","東端","35°09′30″W","134°24′47″W",35.1583333333333,134.413055555556
"岡山県","西端","35°03′11″W","133°16′00″W",35.0530555555556,133.266666666667
